baseline,other,weight,weighted_ttft,weighted_rougel
0_processed,01_processed_updated,0.0,1.3807121301349252,1.0
0_processed,1_processed_updated,0.0,1.3807121301349252,1.0
0_processed,09_processed_updated,0.0,1.3807121301349252,1.0
0_processed,08_processed_updated,0.0,1.3807121301349252,1.0
0_processed,07_processed_updated,0.0,1.3807121301349252,1.0
0_processed,06_processed_updated,0.0,1.3807121301349252,1.0
0_processed,04_processed_updated,0.0,1.3807121301349252,1.0
0_processed,03_processed_updated,0.0,1.3807121301349252,1.0
0_processed,02_processed_updated,0.0,1.3807121301349252,1.0
0_processed,10_processed_updated,0.0,1.3807121301349252,1.0
0_processed,06_processed_updated,0.1,1.2834431533475872,0.9936926102477961
0_processed,07_processed_updated,0.1,1.28481304343557,0.9936926102477961
0_processed,04_processed_updated,0.1,1.2926814018100268,0.9952050020226878
0_processed,03_processed_updated,0.1,1.2907838332790416,0.9970184318676966
0_processed,1_processed_updated,0.1,1.2795943459246775,0.991644050555854
0_processed,01_processed_updated,0.1,1.298733565112576,0.9979170429788077
0_processed,10_processed_updated,0.1,1.2790074490499683,0.9900500029368063
0_processed,08_processed_updated,0.1,1.2809640060057863,0.9921696680755892
0_processed,09_processed_updated,0.1,1.2799743859847077,0.9917370923180134
0_processed,02_processed_updated,0.1,1.2933731492334046,0.9970184318676966
0_processed,01_processed_updated,0.2,1.2167550000902265,0.9958340859576155
0_processed,08_processed_updated,0.2,1.1812158818766476,0.9843393361511783
0_processed,1_processed_updated,0.2,1.1784765617144295,0.983288101111708
0_processed,02_processed_updated,0.2,1.206034168331884,0.9940368637353932
0_processed,03_processed_updated,0.2,1.2008555364231581,0.9940368637353932
0_processed,04_processed_updated,0.2,1.2046506734851283,0.9904100040453756
0_processed,06_processed_updated,0.2,1.1861741765602494,0.9873852204955921
0_processed,07_processed_updated,0.2,1.1889139567362146,0.9873852204955921
0_processed,09_processed_updated,0.2,1.1792366418344902,0.9834741846360269
0_processed,10_processed_updated,0.2,1.1773027679650114,0.9801000058736127
0_processed,06_processed_updated,0.30000000000000004,1.0889051997729111,0.9810778307433881
0_processed,04_processed_updated,0.30000000000000004,1.1166199451602297,0.9856150060680633
0_processed,1_processed_updated,0.30000000000000004,1.0773587775041815,0.9749321516675619
0_processed,09_processed_updated,0.30000000000000004,1.0784988976842724,0.9752112769540402
0_processed,07_processed_updated,0.30000000000000004,1.0930148700368592,0.9810778307433881
0_processed,03_processed_updated,0.30000000000000004,1.1109272395672742,0.9910552956030898
0_processed,01_processed_updated,0.30000000000000004,1.134776435067877,0.9937511289364231
0_processed,08_processed_updated,0.30000000000000004,1.0814677577475085,0.9765090042267675
0_processed,10_processed_updated,0.30000000000000004,1.0755980868800543,0.970150008810419
0_processed,02_processed_updated,0.30000000000000004,1.118695187430363,0.9910552956030898
0_processed,10_processed_updated,0.4,0.9738934057950973,0.9602000117472254
0_processed,06_processed_updated,0.4,0.9916362229855731,0.974770440991184
0_processed,08_processed_updated,0.4,0.9817196336183697,0.9686786723023565
0_processed,01_processed_updated,0.4,1.0527978700455276,0.9916681719152307
0_processed,07_processed_updated,0.4,0.9971157833375036,0.974770440991184
0_processed,09_processed_updated,0.4,0.9777611535340547,0.9669483692720535
0_processed,02_processed_updated,0.4,1.0313562065288424,0.9880737274707863
0_processed,03_processed_updated,0.4,1.0209989427113904,0.9880737274707863
0_processed,04_processed_updated,0.4,1.0285892168353312,0.9808200080907511
0_processed,1_processed_updated,0.4,0.9762409932939335,0.9665762022234159
0_processed,10_processed_updated,0.5,0.8721887247101403,0.9502500146840317
0_processed,02_processed_updated,0.5,0.9440172256273217,0.9850921593384829
0_processed,09_processed_updated,0.5,0.8770234093838372,0.9586854615900668
0_processed,08_processed_updated,0.5,0.8819715094892309,0.9608483403779456
0_processed,01_processed_updated,0.5,0.9708193050231784,0.9895852148940385
0_processed,07_processed_updated,0.5,0.9012166966381483,0.96846305123898
0_processed,03_processed_updated,0.5,0.9310706458555069,0.9850921593384829
0_processed,06_processed_updated,0.5,0.894367246198235,0.96846305123898
0_processed,1_processed_updated,0.5,0.8751232090836856,0.9582202527792698
0_processed,04_processed_updated,0.5,0.9405584885104327,0.9760250101134389
0_processed,03_processed_updated,0.6000000000000001,0.841142348999623,0.9821105912061795
0_processed,10_processed_updated,0.6000000000000001,0.7704840436251833,0.940300017620838
0_processed,07_processed_updated,0.6000000000000001,0.8053176099387928,0.9621556614867761
0_processed,01_processed_updated,0.6000000000000001,0.8888407400008289,0.9875022578728462
0_processed,04_processed_updated,0.6000000000000001,0.8525277601855341,0.9712300121361267
0_processed,02_processed_updated,0.6000000000000001,0.8566782447258009,0.9821105912061795
0_processed,09_processed_updated,0.6000000000000001,0.7762856652336194,0.9504225539080803
0_processed,1_processed_updated,0.6000000000000001,0.7740054248734376,0.9498643033351237
0_processed,08_processed_updated,0.6000000000000001,0.7822233853600918,0.9530180084535348
0_processed,06_processed_updated,0.6000000000000001,0.7970982694108969,0.9621556614867761
0_processed,04_processed_updated,0.7000000000000001,0.7644970318606357,0.9664350141588145
0_processed,08_processed_updated,0.7000000000000001,0.682475261230953,0.9451876765291239
0_processed,1_processed_updated,0.7000000000000001,0.6728876406631897,0.9415083538909778
0_processed,03_processed_updated,0.7000000000000001,0.7512140521437395,0.9791290230738761
0_processed,10_processed_updated,0.7000000000000001,0.6687793625402263,0.9303500205576444
0_processed,01_processed_updated,0.7000000000000001,0.8068621749784797,0.9854193008516539
0_processed,06_processed_updated,0.7000000000000001,0.699829292623559,0.9558482717345721
0_processed,09_processed_updated,0.7000000000000001,0.6755479210834019,0.9421596462260936
0_processed,07_processed_updated,0.7000000000000001,0.7094185232394374,0.9558482717345721
0_processed,02_processed_updated,0.7000000000000001,0.7693392638242802,0.9791290230738761
0_processed,1_processed_updated,0.8,0.5717698564529419,0.9331524044468317
0_processed,09_processed_updated,0.8,0.5748101769331841,0.933896738544107
0_processed,10_processed_updated,0.8,0.5670746814552694,0.9204000234944507
0_processed,08_processed_updated,0.8,0.5827271371018141,0.937357344604713
0_processed,01_processed_updated,0.8,0.7248836099561302,0.9833363438304615
0_processed,02_processed_updated,0.8,0.6820002829227596,0.9761474549415726
0_processed,03_processed_updated,0.8,0.6612857552878557,0.9761474549415726
0_processed,06_processed_updated,0.8,0.6025603158362209,0.9495408819823681
0_processed,04_processed_updated,0.8,0.676466303535737,0.9616400161815022
0_processed,07_processed_updated,0.8,0.613519436540082,0.9495408819823681
0_processed,01_processed_updated,0.9,0.642905044933781,0.9812533868092692
0_processed,04_processed_updated,0.9,0.5884355752108386,0.95684501820419
0_processed,08_processed_updated,0.9,0.4829790129726752,0.9295270126803021
0_processed,03_processed_updated,0.9,0.5713574584319722,0.9731658868092692
0_processed,09_processed_updated,0.9,0.4740724327829666,0.9256338308621204
0_processed,02_processed_updated,0.9,0.5946613020212389,0.9731658868092692
0_processed,07_processed_updated,0.9,0.5176203498407267,0.9432334922301642
0_processed,1_processed_updated,0.9,0.4706520722426939,0.9247964550026857
0_processed,06_processed_updated,0.9,0.5052913390488829,0.9432334922301642
0_processed,10_processed_updated,0.9,0.4653700003703124,0.910450026431257
0_processed,06_processed_updated,1.0,0.4080223622615449,0.9369261024779602
0_processed,09_processed_updated,1.0,0.37333468863274905,0.9173709231801338
0_processed,08_processed_updated,1.0,0.3832308888435364,0.9216966807558913
0_processed,07_processed_updated,1.0,0.4217212631413713,0.9369261024779602
0_processed,04_processed_updated,1.0,0.5004048468859401,0.9520500202268778
0_processed,03_processed_updated,1.0,0.4814291615760885,0.9701843186769658
0_processed,02_processed_updated,1.0,0.5073223211197182,0.9701843186769658
0_processed,01_processed_updated,1.0,0.5609264799114316,0.9791704297880769
0_processed,1_processed_updated,1.0,0.36953428803244603,0.9164405055585396
0_processed,10_processed_updated,1.0,0.3636653192853555,0.9005000293680634
