index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text,ROUGEL
0,triviaqa,1718997.330536885,1.6004225839860735,1.6004225839860735,8.122854632319486,United States,0.6666666666666666
1,triviaqa,1718998.931365438,1.7746264729648829,1.7746264729648829,8.452482946982853,Black Eyed Peas,1.0
2,triviaqa,1719000.706288688,1.3751215590164063,1.3751215590164063,11.63533499645256,55 miles an hour,1.0
3,triviaqa,1719002.081710353,2.257177527062595,2.257177527062595,6.645467545266778,Antonio Vivaldi,1.0
4,triviaqa,1719004.339223347,1.2807493940927088,1.2807493940927088,17.177443223063122,Dartmoor National Park,1.0
5,triviaqa,1719005.620295237,1.1491930328775195,1.1491930328775195,10.442109947318963,Domestic pig,1.0
6,triviaqa,1719006.769781126,0.8038283470086753,0.8038283470086753,12.440466969364138,fontanelle,1.0
7,triviaqa,1719007.57393125,0.4240645789541304,0.4240645789541304,21.22318261571547,Berkshire,1.0
8,triviaqa,1719007.998395007,0.540500805946067,0.540500805946067,25.901904023057032,Elysian Fields,0.8
9,triviaqa,1719008.53921026,0.952463269000873,0.952463269000873,7.349364776389696,Ben-Hur,1.0
10,triviaqa,1719009.491965955,2.093308669049293,2.093308669049293,6.210264254007099,Crystal Gayle,1.0
11,triviaqa,1719011.585570091,1.105924759991467,1.105924759991467,17.18019225841964,The end of a piece.,0.8333333333333333
12,triviaqa,1719012.691781027,0.5738851830828935,0.5738851830828935,20.910105982413363,Nadine Coyle,1.0
13,triviaqa,1719013.265995357,1.363614371046424,1.363614371046424,15.400248373654795,Too long; didn't read,1.0
14,triviaqa,1719014.629904054,0.5406772887799889,0.5406772887799889,11.097192585134652,SMERSH,1.0
15,triviaqa,1719015.170987933,0.638736714143306,0.638736714143306,36.00857675896763,Collapsible baby buggy.,1.0
16,triviaqa,1719015.810101405,1.7901377780362964,1.7901377780362964,4.468929765157883,Brighton,1.0
17,triviaqa,1719017.600532999,0.3378892610780895,0.3378892610780895,32.55504470577949,James Blunt,1.0
18,triviaqa,1719017.938676415,1.678524418035522,1.678524418035522,5.957613659087308,Basketball,1.0
19,triviaqa,1719019.6175026,1.744853099109605,1.744853099109605,10.889168841603722,Sweet orange citrus,1.0
20,triviaqa,1719021.362661886,1.3257488629315048,1.3257488629315048,14.33152275762626,Parkinson's disease,1.0
21,triviaqa,1719022.688709196,0.5508912540972233,0.5508912540972233,23.5981237736363,Robert Stroud,1.0
22,triviaqa,1719023.239900517,0.9872647339943796,0.9872647339943796,16.20639272231017,Zadok the Priest,1.0
23,triviaqa,1719024.227468187,1.2464836069848388,1.2464836069848388,7.220311562516576,Moby Dick,1.0
24,triviaqa,1719025.474280441,2.0493277171626687,2.0493277171626687,12.687087468859042,Childe Harold's Pilgrimage,1.0
25,triviaqa,1719027.523920833,1.4098956130910665,1.4098956130910665,9.929813150709991,Gordon Jackson,1.0
26,triviaqa,1719028.934146112,2.0147796438541263,2.0147796438541263,4.466989741262055,light rum,1.0
27,triviaqa,1719030.949244433,0.5752551429904997,0.5752551429904997,19.121949858311243,River Trent,0.8
28,triviaqa,1719031.524785772,0.3297298080287874,0.3297298080287874,9.098358495201872,Dog,1.0
29,triviaqa,1719031.854788105,1.276046287966892,1.276046287966892,4.702023787522411,Dakota,1.0
30,triviaqa,1719033.13115644,1.2111624430399388,1.2111624430399388,17.33871465440372,A type of hot pepper.,1.0
31,triviaqa,1719034.342625159,0.373020120896399,0.373020120896399,26.808205348197173,Basketball,1.0
32,triviaqa,1719034.715933656,1.8151535450015217,1.8151535450015217,8.263763713712398,Charlton Heston,1.0
33,triviaqa,1719036.531383047,0.7449499168433249,0.7449499168433249,20.13558181677701,Arlene Phillips,1.0
34,triviaqa,1719037.27666443,1.4151424190495163,1.4151424190495163,5.653141261480394,Quadrans,1.0
35,triviaqa,1719038.692131277,2.291238784091547,2.291238784091547,3.9280061347112754,Wanderers,1.0
36,triviaqa,1719040.983662967,0.2652438248042017,0.2652438248042017,56.55174069018472,King George III,1.0
37,triviaqa,1719041.249192829,2.3549621899146587,2.3549621899146587,6.369529015896252,Jackson Pollock,1.0
38,triviaqa,1719043.604457883,2.0528228159528226,2.0528228159528226,2.922804614881039,Island,1.0
39,triviaqa,1719045.657574625,1.203163515077904,1.203163515077904,6.649137793612373,Dubonnet,0.6666666666666666
40,triviaqa,1719046.861052277,0.8595355160068721,0.8595355160068721,10.470771518332516,Vitamin K,1.0
41,triviaqa,1719047.720886849,0.8270942999515682,0.8270942999515682,14.508623745445565,Max Bygraves,1.0
42,triviaqa,1719048.548301706,0.4374726768583059,0.4374726768583059,20.5727133969444,Dr Finlay,1.0
43,triviaqa,1719048.985981927,0.6371427669655532,0.6371427669655532,7.847534742979077,Never,1.0
44,triviaqa,1719049.623418529,1.2810331259388477,1.2810331259388477,6.244959508082146,Augustus,1.0
45,triviaqa,1719050.904726361,1.1045677161309868,1.1045677161309868,9.05331547714195,John Glenn,1.0
46,triviaqa,1719052.009575413,0.9078962709754704,0.9078962709754704,7.710131899186009,Alloway,0.6666666666666666
47,triviaqa,1719052.917738679,1.5942332569975406,1.5942332569975406,6.89986860562461,Marni Nixon,1.0
48,triviaqa,1719054.512259302,1.4921047559473664,1.4921047559473664,6.701942313460965,James Hogg,1.0
49,triviaqa,1719056.004638884,1.169327365932986,1.169327365932986,12.82788758478406,Albert Einstein,1.0
50,triviaqa,1719057.174273116,0.9916525150183588,0.9916525150183588,5.042088760201887,China,1.0
51,triviaqa,1719058.166214857,1.1410971670411527,1.1410971670411527,6.134446918443318,Emerald,1.0
52,triviaqa,1719059.30756133,0.783129177056253,0.783129177056253,28.09242797299036,Breakfast at Tiffany's,1.0
53,triviaqa,1719060.090950563,1.6980938098859042,1.6980938098859042,7.066747390596922,Jimi Hendrix,1.0
54,triviaqa,1719061.789338839,0.3171953619457781,0.3171953619457781,22.06841851992965,Archery,1.0
55,triviaqa,1719062.106829547,2.0773320849984884,2.0773320849984884,3.3697067746417124,Bassoon,1.0
56,triviaqa,1719064.184457428,1.1409224609378723,1.1409224609378723,4.382418763050602,Apple,1.0
57,triviaqa,1719065.325628995,1.4847251479513943,1.4847251479513943,7.408778665315709,Buddy Holly,1.0
58,triviaqa,1719066.810616998,1.9432267791125923,1.9432267791125923,5.660687737652184,Nowhere Boy,1.0
59,triviaqa,1719068.754167725,1.4099712430033833,1.4099712430033833,13.475452137256395,Martin Austin Ruane,1.0
60,triviaqa,1719070.164425095,1.1052603898569942,1.1052603898569942,21.71434009600695,A Streetcar Named Desire,1.0
61,triviaqa,1719071.269978632,0.7226379129569978,0.7226379129569978,15.222007872502228,John Warner,0.0
62,triviaqa,1719071.99288831,1.9098527920432389,1.9098527920432389,6.283206773838264,Johannesburg,1.0
63,triviaqa,1719073.903064978,2.399794913828373,2.399794913828373,4.167022749476155,"1984, 2004",0.6666666666666666
64,triviaqa,1719076.303195259,1.2915168919134885,1.2915168919134885,13.16281661234264,Daphne du Maurier,1.0
65,triviaqa,1719077.595046648,0.2611624598503113,0.2611624598503113,26.80323965401514,Newbury,1.0
66,triviaqa,1719077.856543605,0.7845388329587877,0.7845388329587877,28.04195162275119,Bankside Power Station,1.0
67,triviaqa,1719078.641376303,0.815052991034463,0.815052991034463,9.815312731809524,Tomatoes,1.0
68,triviaqa,1719079.456764312,1.0006416880059987,1.0006416880059987,11.992304681921327,Gary Sparrow,1.0
69,triviaqa,1719080.457708256,1.5354401199147103,1.5354401199147103,7.815348735753086,Muriel Spark,1.0
70,triviaqa,1719081.993456443,1.1438685460016131,1.1438685460016131,9.616489620639054,Salto Angel,1.0
71,triviaqa,1719083.137621495,0.2354157660156488,0.2354157660156488,21.239019308790198,Yahoo,1.0
72,triviaqa,1719083.373291406,0.5046936308499426,0.5046936308499426,41.60940165746573,Fruit and vegetables.,1.0
73,triviaqa,1719083.878267263,1.3689818258862942,1.3689818258862942,7.304698872482027,prosimians,1.0
74,triviaqa,1719085.247553866,2.1317081360612065,2.1317081360612065,6.098395826372517,Jasper Fforde,1.0
75,triviaqa,1719087.379567449,1.3517574151046574,1.3517574151046574,3.698888531425503,Spain,1.0
76,triviaqa,1719088.73161604,0.9192659079562872,0.9192659079562872,4.351298101430524,whey,1.0
77,triviaqa,1719089.651250916,2.175115969032049,2.175115969032049,2.2987280086151247,Steel,1.0
78,triviaqa,1719091.826675211,0.7045341429766268,0.7045341429766268,8.516265762011555,Taiwan,1.0
79,triviaqa,1719092.531504411,1.349574065068737,1.349574065068737,3.704872618269631,Seven,1.0
80,triviaqa,1719093.881376492,0.8039391739293933,0.8039391739293933,8.707126393389037,Seabird,0.33333333333333337
81,triviaqa,1719094.685616063,1.6897714470978826,1.6897714470978826,14.794900246975136,The Owl and the Pussy-Cat,1.0
82,triviaqa,1719096.375758477,1.4911868448834866,1.4911868448834866,7.376674517846542,Mark Rothko,1.0
