index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,triviaqa,1719255.981626642,1.140901813050732,1.140901813050732,11.394494996233242,United States
1,triviaqa,1719257.122910793,1.9664042920339853,1.9664042920339853,7.62813632006696,Black Eyed Peas
2,triviaqa,1719259.089598431,1.3690826778765768,1.3690826778765768,11.686657247621977,55 miles an hour
3,triviaqa,1719260.458981365,2.408173071919009,2.408173071919009,6.22878819421683,Antonio Vivaldi
4,triviaqa,1719262.867455933,1.285246420884505,1.285246420884505,17.117340023292677,Dartmoor National Park
5,triviaqa,1719264.1530299,1.1497899270616472,1.1497899270616472,10.436689100822683,Domestic pig
6,triviaqa,1719265.303130944,0.7997712958604097,0.7997712958604097,12.503574524066662,Fontanelle
7,triviaqa,1719266.103201456,0.42472940613515675,0.42472940613515675,21.189962055831927,Berkshire
8,triviaqa,1719266.528236098,0.5723927861545235,0.5723927861545235,31.44693720011473,The Elysian Fields
9,triviaqa,1719267.100964023,0.9533429809380323,0.9533429809380323,7.3425830367077545,Ben-Hur
10,triviaqa,1719268.05460528,2.108686616877094,2.108686616877094,6.164974869168866,Crystal Gayle
11,triviaqa,1719270.163584314,1.1122487720567733,1.1122487720567733,17.082509306677093,The end of a piece.
12,triviaqa,1719271.276148453,0.5762101300060749,0.5762101300060749,20.825735916641182,Nadine Coyle
13,triviaqa,1719271.85268706,1.4033082430250943,1.4033082430250943,15.67723991457135,Too long; didn't read.
14,triviaqa,1719273.25630433,0.543297354131937,0.543297354131937,11.043676090759924,SMERSH
15,triviaqa,1719273.800021533,0.6400798270478845,0.6400798270478845,35.93301808319506,Collapsible baby buggy.
16,triviaqa,1719274.440507269,1.8053526009898633,1.8053526009898633,4.431267330057104,Brighton
17,triviaqa,1719276.246172227,0.339014780940488,0.339014780940488,32.446962841808904,James Blunt
18,triviaqa,1719276.585437792,1.6902834761422127,1.6902834761422127,5.9161674009991,Basketball
19,triviaqa,1719278.276038165,1.7457165271043777,1.7457165271043777,10.88378307989976,Sweet orange citrus
20,triviaqa,1719280.022074188,1.322402502875775,1.322402502875775,14.367788898373583,Parkinson's disease
21,triviaqa,1719281.344767358,0.5485919050406665,0.5485919050406665,23.697032129988003,Robert Stroud
22,triviaqa,1719281.89369027,0.9851923061069101,0.9851923061069101,16.24048411748734,Zadok the Priest
23,triviaqa,1719282.879199223,1.244366342201829,1.244366342201829,7.232596780201447,Moby Dick
24,triviaqa,1719284.123863342,2.0493285281118006,2.0493285281118006,12.687082448393836,Childe Harold's Pilgrimage
25,triviaqa,1719286.173494397,1.4073893330059946,1.4073893330059946,9.94749617015917,Gordon Jackson
26,triviaqa,1719287.581205366,2.0174852670170367,2.0174852670170367,4.46099911961538,light rum
27,triviaqa,1719289.598979679,0.5727262829896063,0.5727262829896063,19.20638239715572,River Trent
28,triviaqa,1719290.171989317,0.33174951490946114,0.33174951490946114,9.042967254432128,Dog
29,triviaqa,1719290.504040438,1.278696756111458,1.278696756111458,4.692277485903787,Dakota
30,triviaqa,1719291.78305277,1.2120446499902755,1.2120446499902755,17.326094381232974,A type of hot pepper.
31,triviaqa,1719292.995386316,0.3739942880347371,0.3739942880347371,26.73837627988368,Basketball
32,triviaqa,1719293.369689851,1.8157759809400886,1.8157759809400886,8.260930950432549,Charlton Heston
33,triviaqa,1719295.185758288,0.7419686310458928,0.7419686310458928,20.216488099848263,Arlene Phillips
34,triviaqa,1719295.928053347,1.412143556168303,1.412143556168303,5.665146411677242,Quadrans
35,triviaqa,1719297.340494169,2.289617702132091,2.289617702132091,3.9307872190275277,Wanderers
36,triviaqa,1719299.630402947,0.26824860787019134,0.26824860787019134,55.91827715004835,King George III
37,triviaqa,1719299.898919301,2.353249487001449,2.353249487001449,6.374164780595898,Jackson Pollock
