index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1576388.992730314,2.1061994661577046,2.1061994661577046,10.445354465944357,Emilia is still angry.
1,samsum,1576391.099240146,1.5316568969283253,1.5316568969283253,112.94957790282169,"Mico wants to go to the village party to meet some local boys, but Lia is too tired after hiking. Mico and Jeff will go together, with Mico possibly driving so he can drink."
2,samsum,1576392.631315011,1.972755340859294,1.972755340859294,51.704333470754044,Michael can't make it today because he has to stay at the office until 8pm and will call Tom tomorrow.
3,samsum,1576394.604355848,2.272417040076107,2.272417040076107,98.57345550995247,"Autumn has sewn a dress and is excited to show it to Israel, who hasn't had time to sew anything yet. Autumn teases Israel about not having priorities in life, comparing herself to Israel who hasn't checked tests in a month."
4,samsum,1576396.877077364,2.4250111130531877,2.4250111130531877,107.6283727505852,"Brenda and Sandra, former coworkers from a clothes factory, reconnect after 25 years. They reminisce about their past, including their husbands, children, and shared experiences like Northern Soul dancing and dinner dances. They discuss their lives, with Brenda"
5,samsum,1576399.302406933,2.893103144131601,2.893103144131601,72.93206964570015,"Leah sent Kristi a link to get a 20% discount coupon for an online shop. Kristi remembered that she needed new trainers and Leah offered to help her get the discount. In return, Kristi agreed to put Leah's ID on"
6,samsum,1576402.195833484,3.1959447311237454,3.1959447311237454,81.66599298737817,"Lisa and Peter discuss their health and fitness goals. Peter has been working out to improve his health, doing weights and running on the treadmill at the gym near their office. Lisa is also considering working out and eating better to stay in shape. They agree"
7,samsum,1576405.392100351,2.7183621879667044,2.7183621879667044,61.801919090723366,"Petra is extremely sleepy and wants to sleep, while Andy thinks the office is boring because nobody is working. Ezgi is working, but Petra is jokingly calling her lazy."
8,samsum,1576408.110754614,2.740227554924786,2.740227554924786,80.28530316929776,"People are photoshopping Timothée Chalamet into artworks, which is hilarious. Dominic thinks it looks good and that Chalamet resembles a typical young man from a 19th-century portrait, who would have read Rimbaud's poems"
9,samsum,1576410.851283864,1.7731881570070982,1.7731881570070982,111.09932085972724,"Adele got a new 4-month-old puppy, a pup biscuit lab named Chewy, and the other pets are adjusting to him, with the cats keeping their distance and the other dogs mothering him and wanting to play."
10,samsum,1576412.624764287,2.247012648032978,2.247012648032978,75.65600494007766,"Cara wanted to visit Celine, but Celine is not at home. Celine offered to drop by in the evening if Cara doesn't mind, and Cara agreed to call her if she decides to come."
