index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1589039.882123552,2.023411857895553,2.023411857895553,10.872724657688362,Emilia is still angry.
1,samsum,1589041.905813677,1.7885096480604261,1.7885096480604261,120.77094481108568,"Mico wants to go to the village party to meet some local boys, but Lia is too tired after hiking. Jim jokes that the local boys are not very intelligent, but Mico agrees that it's a good thing. Lia is not interested,"
2,samsum,1589043.694629541,1.914153428049758,1.914153428049758,38.659387965255824,Michael can't make it today and will call Tom tomorrow to apologize again.
3,samsum,1589045.609085806,2.2866328130476177,2.2866328130476177,97.96063396005125,"Autumn has sewn a dress and is excited to show it to Israel, who hasn't had time to sew anything yet. Autumn teases Israel about not having priorities in life, comparing herself to Israel who hasn't checked tests in a month."
4,samsum,1589047.896043257,2.561446395004168,2.561446395004168,96.82029672129697,"Brenda and Sandra, former coworkers from a clothes factory, reconnect after 25 years and reminisce about their past, including their time at the factory, their husbands, and their shared love of dancing. They discuss their lives, including Sandra's"
5,samsum,1589050.457796957,2.878275893861428,2.878275893861428,66.70660043725596,"Leah sent Kristi a link to get a 20% discount coupon for an online shop, which includes all items, including trainers Kristi needs. In return, Kristi will put Leah's ID, ""Direndia45"", into the"
6,samsum,1589053.336404018,3.1463704709894955,3.1463704709894955,87.40229497307601,"Lisa and Peter discuss their recent activities, with Peter mentioning he's been busy with work and working out to improve his health. Lisa expresses interest in working out and asks about Peter's routine, which includes weights and running on the treadmill. They also discuss"
7,samsum,1589056.483123016,3.138480792986229,3.138480792986229,75.83286809716165,"Petra is extremely sleepy and wants to sleep, while Andy thinks the office is boring because nobody is working. Ezgi is working, but Petra is jokingly saying she's sleeping with her eyes open. Andy suggests asking the HR woman, who claims"
8,samsum,1589059.621928176,2.586927999043837,2.586927999043837,93.54724990005381,"People are photoshopping Timothée Chalamet into artworks, which is hilarious and looks surprisingly good, with Dominic commenting that he resembles a typical young man from a 19th-century portrait, and Nova joking that he looks like he's read"
9,samsum,1589062.209156891,1.7886032909154892,1.7886032909154892,110.14180785676983,"Adele got a new 4-month-old puppy, a pup biscuit lab named Chewy, and the other pets are adjusting to him, with the cats keeping their distance and the other dogs mothering him and wanting to play."
10,samsum,1589063.998058279,2.2373048609588295,2.2373048609588295,75.53731409119301,"Cara wanted to visit Celine, but Celine is not at home. Celine offers to drop by in the evening if Cara doesn't mind, and Cara agrees to call her if she decides to come."
11,samsum,1589066.235646555,2.0911687230691314,2.0911687230691314,76.99043995058716,"Janice has watched almost all of the top 50 best films of 2018, including Deadpool 2, which her boyfriend forced her to watch, and Avengers, which she saw twice."
12,samsum,1589068.327111356,1.8229525319766253,1.8229525319766253,120.68333987909946,"Luke and Martial plan to attend team selection tomorrow despite their injuries, and will inform Jose and the coach that they are ready to play. They will meet up at Carrington early and go to the coach's office together."
13,samsum,1589070.150347904,2.723458240972832,2.723458240972832,78.57656738792448,"Sally and Rita are excited about Borns' new album, with ""God Save Our Young Blood"" and ""Faded Heart"" being their favorite tracks. They're also looking forward to Florence's new single, which is coming out tomorrow."
14,samsum,1589072.874107901,1.8146580059546977,1.8146580059546977,64.4749587063078,"Martin won two cinema tickets by writing a short review on Facebook, and he's going to see the new film with Redford."
15,samsum,1589074.689097284,1.7694446728564799,1.7694446728564799,74.59967639841913,"Max shares his latest music project with Jim, who agrees to listen to it when he gets home, and promises to give his honest opinion."
16,samsum,1589076.458858313,1.5968478010036051,1.5968478010036051,99.57116758408026,"Wanda wants to have a party and needs Gina's help. Gina agrees to help, but is unsure if her father will let her use his car to go grocery shopping with Wanda."
17,samsum,1589078.055965879,1.3307543550617993,1.3307543550617993,98.44040675254183,"Madison saw an offer for a trip to Thailand, which is not too expensive, except for the tickets, but children under 12 get 50% off."
18,samsum,1589079.387000089,2.2038769989740103,2.2038769989740103,66.24689130471829,"Charlee is in a theatre class in Portuguese at her university, where they are preparing a performance of a Polish play translated into Portuguese."
19,samsum,1589081.591226735,0.8681489580776542,0.8681489580776542,61.04943109919537,Jesse broke his razor and is asking to borrow Stig's.
20,samsum,1589082.459688389,2.100063313031569,2.100063313031569,30.4752716753154,Meg can meet Ann at home at 7 pm after Ann's extra math classes.
21,samsum,1589084.560112851,2.621476884931326,2.621476884931326,61.03429746785331,"Jones and Angelina meet up after a long time, both are doing fine. They plan to meet in town later in the afternoon and Jones will call to confirm the location."
22,samsum,1589087.181871732,1.8439308309461921,1.8439308309461921,116.05641405224964,"Bella wants to visit Clara tonight, but needs to check on her dad first. They plan to meet at 7:30 and have a drink, with Bella bringing wine. Clara is expecting Bella to talk to her about something, but Bella hasn"
23,samsum,1589089.026081918,2.1608465008903295,2.1608465008903295,122.63712387289544,"Gary is driving for Uber, much to Ellie's surprise, as she had previously told him it was a terrible idea. Despite her initial reservations, Gary is enjoying the experience, meeting new people and having fun, which Ellie finds surprising given his typically awkward"
24,samsum,1589091.187237156,2.864784493809566,2.864784493809566,73.30394326476677,Elena wishes Dorothea a happy birthday and hopes all her dreams come true. Dorothea is celebrating with Tom and plans to eat in town. Elena invites them to enjoy themselves and will see them at Dorothea's party
25,samsum,1589094.052306547,1.976672031916678,1.976672031916678,134.56961787539097,"Charles and Camilla are planning their weekends, with Charles visiting German markets in Birmingham and Manchester for sausage and beer, and Camilla having a quiet weekend with work and a show. Camilla is interested in visiting the markets and trying the mulled wine"
26,samsum,1589096.029280215,1.7899064079392701,1.7899064079392701,63.131792533274165,"Mary is broke and asks Carter to lend her a few bucks, and he agrees to meet her at the train station in an hour."
27,samsum,1589097.819544262,1.971569512039423,1.971569512039423,48.18496097646108,"Chloe hasn't watched the series Biwott recommended yet, but plans to watch it over the weekend."
28,samsum,1589099.791444532,2.387295279884711,2.387295279884711,100.11329642118757,"Iris is trying to remove herself from an expense involving a person who has left the group, but can't edit it. Ken suggests finding the person's email address, but Luke recommends deleting the expense and re-adding it. Iris tries to delete"
29,samsum,1589102.179064729,2.4417130700312555,2.4417130700312555,27.4397515508005,Huda invites Alex to go swimming and they agree to meet in 2 hours.
30,samsum,1589104.621119477,1.820598433027044,1.820598433027044,108.75544898211984,"Tina and Steve discuss having pasta for dinner, with Steve's favorite toppings, but they need to do some shopping afterwards. They decide to go together, and plan to meet in the car park after work."
31,samsum,1589106.441993906,1.1754254009574652,1.1754254009574652,70.61273300065727,"Christie and Katie are both tired after the party, but they agree it was great fun."
32,samsum,1589107.617847956,2.1396888000890613,2.1396888000890613,110.2964131934405,"Jess had a dream about being a lion tamer and wondered if it meant she should go to Africa, but her friends joked that it might be a sign of her getting attacked by a stray cat. They discussed the meaning of dreams, with Lynn suggesting"
33,samsum,1589109.757840512,2.1972766369581223,2.1972766369581223,50.06197132841789,"Sophie is waiting for Tina to arrive at the bus, which is leaving in 3 minutes, and is urging her to hurry up."
34,samsum,1589111.955458386,0.742959207855165,0.742959207855165,95.56379307145082,Louisa will lend Thelma her red velvet dress so she can look wonderful.
35,samsum,1589112.698833133,2.0954247638583183,2.0954247638583183,41.99625847599752,"Tobias and Trevor are planning to grab a beer after work, meeting at Tobias' place at 9."
36,samsum,1589114.794593705,2.5712348530068994,2.5712348530068994,80.8949831077301,"Anna is promoting an app that helps people choose what to wear, and Peter is skeptical, but Anna convinces him to play a game where he has to imagine having a large wardrobe and quickly deciding what to wear."
37,samsum,1589117.366131074,2.927214656956494,2.927214656956494,70.03244518225533,"Peadar invites friends for a drink, but Clare is not in town and Annette is home sick with lung lurgy. Oli asks if people are at Jesus bar, and James says he's heading there. Anne double books herself, but"
38,samsum,1589120.293638228,2.638609870104119,2.638609870104119,89.82002329531497,"Martin wants to talk to Nicole about something, but prefers to do it in person. Nicole is busy at work due to recent departures, but Martin eventually tells her that he's asexual, which he thinks could be a problem in their relationship."
39,samsum,1589122.932527954,1.866957301972434,1.866957301972434,137.1215076689418,"Dan will split the BBQ costs equally among everyone, but those who didn't eat can remove themselves from the Splitwise transaction. Sara removes herself since she didn't eat, and Gerardo and Eric remove themselves after acknowledging Dan's cooking efforts."
40,samsum,1589124.799780132,1.531193469883874,1.531193469883874,99.26897089727512,"Andrea is unable to come to work because her son is sick and needs to go to the doctor, and Patrick agrees to cover for her for the next couple of days."
41,samsum,1589126.331255398,1.7158917400520295,1.7158917400520295,148.02798688936994,"Guido is having trouble understanding Agata's posts on Facebook, but she explains that they are actually her Twitter posts being shared on Facebook. She also corrects him that she is learning JavaScript, not Java. Guido is impressed by her enthusiasm for"
