Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
0,[],6406,0,2,,1.2752394240233116,1.0
0,[],1794,1,2,,0.2699897949933074,1.0
13128,[1.],8984,2,2,cpu,0.12933260196055918,0.8571428571428571
0,[],5623,3,2,,0.8749789739958942,1.0
0,[],6749,4,2,,1.052467935020104,1.0
14296,[0.371428571.],9574,5,2,cpu,0.06251406489665182,0.4761904761904762
16774,[0.371428571.],11372,6,2,cpu,0.07038044144912449,0.3225806451612903
16636,[0.371428571.],11240,7,2,cpu,0.0699423623675098,0.5753424657534247
0,[],7689,8,2,,1.255870204011444,1.0
0,[],2113,9,2,,0.3132078310009092,1.0
0,[],6608,10,2,,1.055042436986696,1.0
0,[],6582,11,2,,1.0271723899641074,1.0
0,[],3507,12,2,,0.5321236639865674,1.0
13070,[1.],8785,13,2,cpu,0.12883689374611995,0.9863013698630138
0,[],7565,14,2,,1.1901232679956593,1.0
0,[],6750,15,2,,1.0556285650236532,1.0
0,[],3141,16,2,,0.4593562500085681,1.0
0,[],2154,17,2,,0.3243308030068874,1.0
14458,[0.371428571.],9666,18,2,cpu,0.0630283316446343,1.0
0,[],3170,19,2,,0.4829667290323414,1.0
16267,[0.371428571.],11154,20,2,cpu,0.06877097699710526,1.0
15915,[0.371428571.],10825,21,2,cpu,0.06765355789037791,0.819672131147541
0,[],2223,22,2,,0.3333656960166991,1.0
0,[],4803,23,2,,0.7263566649635322,1.0
14003,[0.371428571.],9481,24,2,cpu,0.061583940469745246,0.7540983606557378
0,[],3276,25,2,,0.4837897929828614,1.0
0,[],6884,26,2,,1.109167215996422,1.0
13713,[0.371428571.],9214,27,2,cpu,0.060663339501134644,0.8108108108108107
0,[],6465,28,2,,1.0209300119895488,1.0
18085,[0.371428571.],12184,29,2,cpu,0.07454219272446415,0.4347826086956521
0,[],3776,30,2,,0.5605638900306076,1.0
0,[],4381,31,2,,0.662293668021448,1.0
0,[],4686,32,2,,0.6944364500232041,1.0
13910,[0.371428571.],9366,33,2,cpu,0.06128871326257013,0.5263157894736841
0,[],1404,34,2,,0.2177738550235517,1.0
14607,[0.371428571.],9804,35,2,cpu,0.06350133007333422,0.9090909090909092
12994,[1.],8710,36,2,cpu,0.12818734505133753,1.0
14733,[0.371428571.],9918,37,2,cpu,0.06390131532176505,0.2
0,[],8423,38,2,,1.3300192030146718,1.0
0,[],2756,39,2,,0.4031989800278097,1.0
0,[],3209,40,2,,0.4853440659935586,1.0
0,[],1220,41,2,,0.1948655089945532,1.0
0,[],4847,42,2,,0.7314284819876775,1.0
15356,[0.371428571.],10366,43,2,cpu,0.06587902016122851,0.6923076923076923
0,[],8314,44,2,,1.3407672899775207,1.0
0,[],7843,45,2,,1.2609440789674409,1.0
0,[],1644,46,2,,0.248371648020111,1.0
0,[],4912,47,2,,0.7560110249905847,1.0
0,[],1162,48,2,,0.1938555669621564,1.0
0,[],7924,49,2,,1.2652136700344272,1.0
0,[],2654,50,2,,0.4091013980214484,1.0
14920,[0.371428571.],10130,51,2,cpu,0.06449494422221395,1.0
14043,[0.371428571.],9449,52,2,cpu,0.06171091991369154,0.7999999999999999
12740,[1.],8653,53,2,cpu,0.12601648493982787,1.0
0,[],2483,54,2,,0.3742721599992364,1.0
0,[],7165,55,2,,1.13961090502562,1.0
16525,[0.371428571.],11138,56,2,cpu,0.06958999441055884,0.6262626262626263
0,[],1415,57,2,,0.2190971430391073,1.0
0,[],3135,58,2,,0.483368597982917,1.0
15984,[0.371428571.],10777,59,2,cpu,0.06787259743118526,0.3728813559322034
0,[],2448,60,2,,0.3753316550282761,1.0
14556,[0.371428571.],9694,61,2,cpu,0.06333943128230271,0.975609756097561
0,[],4187,62,2,,0.6392315200064331,1.0
0,[],5874,63,2,,0.9044857660192064,1.0
13165,[1.],9123,64,2,cpu,0.129648829614598,1.0
13907,[0.371428571.],9352,65,2,cpu,0.06127918980427416,0.6818181818181819
0,[],1691,66,2,,0.2497147189569659,1.0
0,[],6790,67,2,,1.072830340010114,1.0
0,[],6236,68,2,,0.9860747210332192,1.0
0,[],936,69,2,,0.1587737239897251,1.0
0,[],7481,70,2,,1.2018377549829893,1.0
0,[],6099,71,2,,0.9837994310073556,1.0
0,[],2110,72,2,,0.32186686899513,1.0
0,[],5832,73,2,,0.9144709869869984,1.0
0,[],6733,74,2,,1.0591887310147283,1.0
0,[],3237,75,2,,0.482770734000951,1.0
14122,[0.371428571.],9464,76,2,cpu,0.061961704315485464,0.4313725490196078
13736,[0.371428571.],9356,77,2,cpu,0.06073635268140376,0.5454545454545455
0,[],5571,78,2,,0.8785222439910285,1.0
15410,[0.371428571.],10434,79,2,cpu,0.06605044241055599,0.40625
0,[],4927,80,2,,0.7515541320317425,1.0
16706,[0.371428571.],11405,81,2,cpu,0.0701645763944158,0.6779661016949152
0,[],4428,82,2,,0.6708694659755565,1.0
0,[],4173,83,2,,0.6436541510047391,1.0
12939,[1.],8729,84,2,cpu,0.12771727691695553,1.0
0,[],2519,85,2,,0.3849166199797764,1.0
0,[],2227,86,2,,0.3313646480091847,1.0
0,[],2045,87,2,,0.3244957189890556,1.0
0,[],7008,88,2,,1.130919961957261,1.0
0,[],8345,89,2,,1.326821414986625,1.0
0,[],1703,90,2,,0.2699132019770331,1.0
0,[],6376,91,2,,0.9926619750331156,1.0
14141,[0.371428571.],9637,92,2,cpu,0.062022019551359955,0.4680851063829787
0,[],6247,93,2,,0.9948524089995772,1.0
0,[],7781,94,2,,1.2868866479839198,1.0
17926,[0.371428571.],12252,95,2,cpu,0.07403744943477765,0.9655172413793104
0,[],3917,96,2,,0.6045018199947663,1.0
15082,[0.371428571.],10251,97,2,cpu,0.06500921097019642,0.3137254901960784
0,[],1734,98,2,,0.2484835269860923,1.0
0,[],7127,99,2,,1.1095536130014807,1.0
12952,[1.],8851,100,2,cpu,0.12782838393053672,1.0
0,[],7940,101,2,,1.268760021019261,1.0
0,[],6846,102,2,,1.0775444810278714,1.0
0,[],2161,103,2,,0.3242542590014636,1.0
0,[],2017,104,2,,0.3061822589952498,1.0
0,[],6247,105,2,,0.997281424992252,1.0
0,[],3539,106,2,,0.5411171460291371,1.0
0,[],5587,107,2,,0.870989257004112,1.0
0,[],5308,108,2,,0.8184398030280136,1.0
0,[],4694,109,2,,0.7249555710004643,1.0
0,[],3916,110,2,,0.5871549380244687,1.0
12735,[1.],8726,111,2,cpu,0.12597375147306586,1.0
0,[],5696,112,2,,0.9019887109752744,1.0
0,[],3928,113,2,,0.6082310400088318,1.0
0,[],4162,114,2,,0.6412573030102067,1.0
0,[],2148,115,2,,0.3339836000232026,1.0
0,[],2292,116,2,,0.3359284210018813,1.0
17239,[0.371428571.],11695,117,2,cpu,0.07185657748500011,0.72
0,[],5133,118,2,,0.7814784580259584,1.0
0,[],4339,119,2,,0.6641240619937889,1.0
0,[],4873,120,2,,0.7366533019812778,1.0
0,[],3477,121,2,,0.5374535100418143,1.0
0,[],7230,122,2,,1.1526643519755453,1.0
16049,[0.371428571.],11070,123,2,cpu,0.06807893902759798,0.7157894736842104
0,[],3446,124,2,,0.5015253020101227,1.0
0,[],3931,125,2,,0.591559591004625,1.0
15755,[0.371428571.],10618,126,2,cpu,0.06714564011459276,0.7906976744186046
14227,[0.371428571.],9769,127,2,cpu,0.06229502535584447,0.4752475247524752
0,[],3082,128,2,,0.4606477129855193,1.0
0,[],1322,129,2,,0.2195839959895238,1.0
0,[],2343,130,2,,0.3640705599682405,1.0
0,[],6253,131,2,,1.0024434599909,1.0
13752,[0.371428571.],9070,132,2,cpu,0.060787144458982284,0.7169811320754716
12562,[1.],8528,133,2,cpu,0.1244951735231006,1.0
0,[],6422,134,2,,1.035920231952332,1.0
14028,[0.371428571.],9570,135,2,cpu,0.061663302622211674,0.5666666666666667
0,[],2027,136,2,,0.301538446045015,1.0
0,[],1652,137,2,,0.2509998219902627,1.0
0,[],3425,138,2,,0.5422291840077378,1.0
0,[],3380,139,2,,0.5309158030431718,1.0
16668,[0.371428571.],11317,140,2,cpu,0.07004394592266681,0.9411764705882352
14713,[0.371428571.],10032,141,2,cpu,0.0638378255997919,0.4814814814814815
0,[],3375,142,2,,0.4996152669773437,1.0
0,[],3878,143,2,,0.5887486129649915,1.0
0,[],6914,144,2,,1.1273245239863172,1.0
0,[],7136,145,2,,1.1464671090361662,1.0
0,[],6607,146,2,,1.0524805460008793,1.0
0,[],7032,147,2,,1.127654555020854,1.0
17041,[0.371428571.],11799,148,2,cpu,0.07122802923746598,1.0
13413,[1.],9216,149,2,cpu,0.13176840956599328,1.0
0,[],1820,150,2,,0.2758986189728603,1.0
0,[],7157,151,2,,1.1506554289953783,1.0
13474,[0.371428571.],9076,152,2,cpu,0.05990463732355557,0.3414634146341463
0,[],6275,153,2,,0.9985580940265208,1.0
0,[],7046,154,2,,1.1418074499815702,1.0
0,[],1909,155,2,,0.2956904640304856,1.0
13265,[1.],8932,156,2,cpu,0.13050349894983804,1.0
12226,[1.],8341,157,2,cpu,0.1216234845566941,1.0
0,[],5004,158,2,,0.7751332629704848,1.0
0,[],2904,159,2,,0.4389162180013954,1.0
16371,[0.371428571.],11057,160,2,cpu,0.06910112355136562,0.7547169811320755
0,[],3760,161,2,,0.5641958430060185,1.0
0,[],7949,162,2,,1.2758867390220985,1.0
0,[],5382,163,2,,0.8189547540387139,1.0
14415,[0.371428571.],9891,164,2,cpu,0.06289182874239203,0.6829268292682926
0,[],1918,165,2,,0.3064376969705336,1.0
15565,[0.371428571.],10497,166,2,cpu,0.06654248775584787,0.5098039215686274
0,[],7511,167,2,,1.2207593410275877,1.0
0,[],3617,168,2,,0.5600125170312822,1.0
0,[],6911,169,2,,1.0872742640203796,1.0
14586,[0.371428571.],9980,170,2,cpu,0.06343466586526243,0.4
0,[],1985,171,2,,0.3021811710204929,1.0
0,[],7209,172,2,,1.1655831480165944,1.0
15001,[0.371428571.],10231,173,2,cpu,0.06475207759620519,0.7435897435897435
0,[],4187,174,2,,0.6239913419703953,1.0
0,[],2808,175,2,,0.4264655860024504,1.0
12946,[1.],8885,176,2,cpu,0.1277771037704223,1.0
0,[],3613,177,2,,0.5424855590099469,1.0
16175,[0.371428571.],10898,178,2,cpu,0.0684789242760288,0.3361344537815126
0,[],3022,179,2,,0.4559739910182543,1.0
14723,[0.371428571.],10071,180,2,cpu,0.06386957046077847,0.825
0,[],2757,181,2,,0.4381787090096622,1.0
0,[],7807,182,2,,1.2343358609941788,1.0
0,[],3938,183,2,,0.6237840629764833,1.0
0,[],2858,184,2,,0.4230941870482638,1.0
0,[],7941,185,2,,1.289896117988974,1.0
15049,[0.371428571.],10326,186,2,cpu,0.06490445292894073,0.7916666666666666
0,[],5775,187,2,,0.9193953750072978,1.0
0,[],3429,188,2,,0.5082547459751368,1.0
12400,[1.],8435,189,2,cpu,0.12311060920001175,1.0
0,[],3741,190,2,,0.5655731380102225,1.0
14436,[0.371428571.],9825,191,2,cpu,0.06295849295046384,0.6
0,[],5492,192,2,,0.8381516889785416,1.0
0,[],6053,193,2,,0.9352589580230416,1.0
0,[],1198,194,2,,0.19115118595073,1.0
13823,[0.371428571.],9352,195,2,cpu,0.061012532971986944,0.4878048780487805
0,[],8082,196,2,,1.2913037890102714,1.0
16708,[0.371428571.],11366,197,2,cpu,0.07017092536661311,1.0
0,[],5523,198,2,,0.8779667519847862,1.0
15811,[0.371428571.],10784,199,2,cpu,0.06732341133611755,0.8
