prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
20042.0,10.0,22.305197954177856,3.6762449741363525,3,1,1751352580.3876345,1751352606.3690875
20042.0,10.0,44.93069767951965,3.7000768184661865,4,1,1751352598.3335645,1751352646.964346
20042.0,10.0,8.176928520202637,3.765315055847168,5,1,1751352566.3505077,1751352578.2927587
20078.0,10.0,67.40943002700806,3.7073943614959717,5,2,1751352616.4252133,1751352687.5420477
20042.0,10.0,30.649537324905396,3.7979941368103027,6,1,1751352584.3986664,1751352618.846207
20078.0,10.0,89.98193502426147,3.701507568359375,6,2,1751352634.4499881,1751352728.1334453
20042.0,10.0,53.231961488723755,3.8133397102355957,7,1,1751352602.3859866,1751352659.4312954
20078.0,10.0,109.6100263595581,0.2550218105316162,7,2,1751352659.5015209,1751352769.3665805
20042.0,10.0,12.090309381484985,3.6423349380493164,8,1,1751352570.3607984,1751352586.0934644
20078.0,10.0,75.75790882110596,3.820887565612793,8,2,1751352620.4389563,1751352700.0177603
20042.0,10.0,34.58518052101135,3.668546199798584,9,1,1751352588.4130833,1751352626.6668186
20078.0,10.0,98.34519791603088,3.807234048843384,9,2,1751352638.4614398,1751352740.6138835
20042.0,10.0,57.15229535102844,3.690441131591797,10,1,1751352606.3963137,1751352667.239059
20042.0,10.0,16.29194664955139,3.7350687980651855,11,1,1751352574.3701782,1751352594.3972013
20078.0,10.0,79.71520209312439,3.686345100402832,11,2,1751352624.419077,1751352707.8206334
20042.0,10.0,38.796913862228394,3.7639472484588623,12,1,1751352592.418055,1751352634.978921
20078.0,10.0,102.27400803565979,3.67401385307312,12,2,1751352642.4911733,1751352748.4392018
20042.0,10.0,61.3605170249939,3.783503770828247,13,1,1751352610.4136357,1751352675.557663
20042.0,10.0,20.505653381347656,3.807830810546875,14,1,1751352578.3808599,1751352602.6943521
20078.0,10.0,83.93429398536682,3.7723283767700195,14,2,1751352628.4302838,1751352716.136915
20042.0,10.0,43.12787580490112,3.809701681137085,15,1,1751352596.3283913,1751352643.265977
20078.0,10.0,106.60330295562744,3.7587175369262695,15,2,1751352646.403228,1751352756.7652628
20042.0,10.0,6.078660726547241,3.733001232147217,16,1,1751352564.3421206,1751352574.1537917
20078.0,10.0,65.30432891845703,3.6498513221740723,16,2,1751352614.421461,1751352683.3756495
20042.0,10.0,28.530428409576416,3.7710976600646973,17,1,1751352582.391451,1751352614.6929853
20078.0,10.0,88.16801619529724,3.826660633087158,17,2,1751352632.4391735,1751352724.4338562
20042.0,10.0,51.11143493652344,3.787104845046997,18,1,1751352600.3817668,1751352655.2803166
20078.0,10.0,109.77912282943726,3.6831610202789307,18,2,1751352655.2928455,1751352768.7551386
20042.0,10.0,10.274683713912964,3.8240599632263184,19,1,1751352568.3534784,1751352582.452228
20078.0,10.0,73.63046026229858,3.80379056930542,19,2,1751352618.43164,1751352695.8659
20042.0,10.0,32.75753045082092,3.833658456802368,20,1,1751352586.4078526,1751352622.999049
20078.0,10.0,96.2179787158966,3.7800803184509277,20,2,1751352636.4564447,1751352736.4545126
20042.0,10.0,55.04053783416748,3.658616304397583,21,1,1751352604.3912435,1751352663.0904043
20042.0,10.0,14.181960105895996,3.7109222412109375,22,1,1751352572.3654773,1751352590.2583683
20078.0,10.0,77.50209355354309,3.656538724899292,22,2,1751352622.51468,1751352703.673321
20042.0,10.0,36.66982984542847,3.733792304992676,23,1,1751352590.422748,1751352630.8263786
20078.0,10.0,100.44773030281067,3.8392274379730225,23,2,1751352640.4790897,1751352744.7660565
20042.0,10.0,59.23982238769531,3.7542710304260254,24,1,1751352608.4090965,1751352671.4032083
20042.0,10.0,18.393563747406006,3.7949585914611816,25,1,1751352576.3754056,1751352598.5639367
20078.0,10.0,81.82017469406128,3.741495132446289,25,2,1751352626.4251728,1751352711.9868538
20042.0,10.0,40.9065637588501,3.82195782661438,26,1,1751352594.4236248,1751352639.1521554
20078.0,10.0,104.38152623176575,3.731710433959961,26,2,1751352644.4990203,1751352752.6122682
20042.0,10.0,4.001499891281128,3.669208288192749,27,1,1751352562.3271844,1751352569.997899
20078.0,10.0,63.47175359725952,3.8375906944274902,27,2,1751352612.4174697,1751352679.7268279
20042.0,10.0,26.42083430290222,3.706225872039795,28,1,1751352580.3907676,1751352610.5178373
20078.0,10.0,86.04108834266663,3.8265316486358643,28,2,1751352630.4354453,1751352720.3030744
20042.0,10.0,48.9531044960022,3.7248756885528564,29,1,1751352598.435808,1751352651.1138005
20078.0,10.0,106.00532293319702,3.8165314197540283,29,2,1751352651.116792,1751352760.9386542
20042.0,10.0,71.42138338088989,3.742180585861206,30,1,1751352616.5275016,1751352691.6910732
20042.0,10.0,94.00559306144714,3.7271032333374023,31,1,1751352634.5524387,1751352732.2851448
20042.0,10.0,108.66945838928223,3.8164517879486084,32,1,1751352652.586354,1751352765.0722728
